Iso3,StartDate,EndDate,Area Code,Area Code (M49),Area,Item Code,Item,Element Code,Element,Months Code,Months,Year Code,Year,Unit,Value,Flag,Note
#country+code,#date+start,#date+end,,,#country+name,#indicator+code,#indicator+name,,,,,,#date+year,#indicator+type,#indicator+value+num,,
IDN,2019-04-01,2019-04-30,101,'360,Indonesia,23013,"Consumer Prices, Food Indices (2015 = 100)",6125,Value,7004,April,2019,2019,,113.759597,X,base year is 2015
IDN,2020-04-01,2020-04-30,101,'360,Indonesia,23013,"Consumer Prices, Food Indices (2015 = 100)",6125,Value,7004,April,2020,2020,,121.836236,X,base year is 2015
IDN,2021-04-01,2021-04-30,101,'360,Indonesia,23013,"Consumer Prices, Food Indices (2015 = 100)",6125,Value,7004,April,2021,2021,,124.680219,X,base year is 2015
IDN,2022-04-01,2022-04-30,101,'360,Indonesia,23013,"Consumer Prices, Food Indices (2015 = 100)",6125,Value,7004,April,2022,2022,,131.164501,X,base year is 2015
IDN,2023-04-01,2023-04-30,101,'360,Indonesia,23013,"Consumer Prices, Food Indices (2015 = 100)",6125,Value,7004,April,2023,2023,,137.193745,X,base year is 2015
IDN,2000-05-01,2000-05-31,101,'360,Indonesia,23013,"Consumer Prices, Food Indices (2015 = 100)",6125,Value,7005,May,2000,2000,,27.146556,X,base year is 2015
IDN,2001-05-01,2001-05-31,101,'360,Indonesia,23013,"Consumer Prices, Food Indices (2015 = 100)",6125,Value,7005,May,2001,2001,,29.436077,X,base year is 2015
IDN,2002-05-01,2002-05-31,101,'360,Indonesia,23013,"Consumer Prices, Food Indices (2015 = 100)",6125,Value,7005,May,2002,2002,,32.564935,X,base year is 2015
IDN,2003-05-01,2003-05-31,101,'360,Indonesia,23013,"Consumer Prices, Food Indices (2015 = 100)",6125,Value,7005,May,2003,2003,,33.126138,X,base year is 2015
IDN,2004-05-01,2004-05-31,101,'360,Indonesia,23013,"Consumer Prices, Food Indices (2015 = 100)",6125,Value,7005,May,2004,2004,,35.410706,X,base year is 2015
IDN,2005-05-01,2005-05-31,101,'360,Indonesia,23013,"Consumer Prices, Food Indices (2015 = 100)",6125,Value,7005,May,2005,2005,,37.367480,X,base year is 2015
IDN,2006-05-01,2006-05-31,101,'360,Indonesia,23013,"Consumer Prices, Food Indices (2015 = 100)",6125,Value,7005,May,2006,2006,,43.555659,X,base year is 2015
IDN,2007-05-01,2007-05-31,101,'360,Indonesia,23013,"Consumer Prices, Food Indices (2015 = 100)",6125,Value,7005,May,2007,2007,,48.224115,X,base year is 2015
IDN,2008-05-01,2008-05-31,101,'360,Indonesia,23013,"Consumer Prices, Food Indices (2015 = 100)",6125,Value,7005,May,2008,2008,,56.994839,X,base year is 2015
IDN,2009-05-01,2009-05-31,101,'360,Indonesia,23013,"Consumer Prices, Food Indices (2015 = 100)",6125,Value,7005,May,2009,2009,,60.838867,X,base year is 2015
IDN,2010-05-01,2010-05-31,101,'360,Indonesia,23013,"Consumer Prices, Food Indices (2015 = 100)",6125,Value,7005,May,2010,2010,,64.891474,X,base year is 2015
IDN,2011-05-01,2011-05-31,101,'360,Indonesia,23013,"Consumer Prices, Food Indices (2015 = 100)",6125,Value,7005,May,2011,2011,,71.521674,X,base year is 2015
IDN,2012-05-01,2012-05-31,101,'360,Indonesia,23013,"Consumer Prices, Food Indices (2015 = 100)",6125,Value,7005,May,2012,2012,,76.433487,X,base year is 2015
IDN,2013-05-01,2013-05-31,101,'360,Indonesia,23013,"Consumer Prices, Food Indices (2015 = 100)",6125,Value,7005,May,2013,2013,,84.710271,X,base year is 2015
IDN,2014-05-01,2014-05-31,101,'360,Indonesia,23013,"Consumer Prices, Food Indices (2015 = 100)",6125,Value,7005,May,2014,2014,,90.835788,X,base year is 2015
IDN,2015-05-01,2015-05-31,101,'360,Indonesia,23013,"Consumer Prices, Food Indices (2015 = 100)",6125,Value,7005,May,2015,2015,,98.055147,X,base year is 2015
IDN,2016-05-01,2016-05-31,101,'360,Indonesia,23013,"Consumer Prices, Food Indices (2015 = 100)",6125,Value,7005,May,2016,2016,,105.633911,X,base year is 2015
IDN,2017-05-01,2017-05-31,101,'360,Indonesia,23013,"Consumer Prices, Food Indices (2015 = 100)",6125,Value,7005,May,2017,2017,,109.227964,X,base year is 2015
IDN,2018-05-01,2018-05-31,101,'360,Indonesia,23013,"Consumer Prices, Food Indices (2015 = 100)",6125,Value,7005,May,2018,2018,,114.072123,X,base year is 2015
IDN,2019-05-01,2019-05-31,101,'360,Indonesia,23013,"Consumer Prices, Food Indices (2015 = 100)",6125,Value,7005,May,2019,2019,,114.384649,X,base year is 2015
IDN,2020-05-01,2020-05-31,101,'360,Indonesia,23013,"Consumer Prices, Food Indices (2015 = 100)",6125,Value,7005,May,2020,2020,,121.494958,X,base year is 2015
IDN,2021-05-01,2021-05-31,101,'360,Indonesia,23013,"Consumer Prices, Food Indices (2015 = 100)",6125,Value,7005,May,2021,2021,,125.135256,X,base year is 2015
IDN,2022-05-01,2022-05-31,101,'360,Indonesia,23013,"Consumer Prices, Food Indices (2015 = 100)",6125,Value,7005,May,2022,2022,,132.188335,X,base year is 2015
IDN,2023-05-01,2023-05-31,101,'360,Indonesia,23013,"Consumer Prices, Food Indices (2015 = 100)",6125,Value,7005,May,2023,2023,,137.876301,X,base year is 2015
IDN,2000-06-01,2000-06-30,101,'360,Indonesia,23013,"Consumer Prices, Food Indices (2015 = 100)",6125,Value,7006,June,2000,2000,,27.186286,X,base year is 2015
IDN,2001-06-01,2001-06-30,101,'360,Indonesia,23013,"Consumer Prices, Food Indices (2015 = 100)",6125,Value,7006,June,2001,2001,,29.833392,X,base year is 2015
IDN,2002-06-01,2002-06-30,101,'360,Indonesia,23013,"Consumer Prices, Food Indices (2015 = 100)",6125,Value,7006,June,2002,2002,,32.465606,X,base year is 2015
IDN,2003-06-01,2003-06-30,101,'360,Indonesia,23013,"Consumer Prices, Food Indices (2015 = 100)",6125,Value,7006,June,2003,2003,,32.862921,X,base year is 2015
IDN,2004-06-01,2004-06-30,101,'360,Indonesia,23013,"Consumer Prices, Food Indices (2015 = 100)",6125,Value,7006,June,2004,2004,,35.738491,X,base year is 2015
IDN,2005-06-01,2005-06-30,101,'360,Indonesia,23013,"Consumer Prices, Food Indices (2015 = 100)",6125,Value,7006,June,2005,2005,,37.640636,X,base year is 2015
IDN,2006-06-01,2006-06-30,101,'360,Indonesia,23013,"Consumer Prices, Food Indices (2015 = 100)",6125,Value,7006,June,2006,2006,,44.037402,X,base year is 2015
IDN,2007-06-01,2007-06-30,101,'360,Indonesia,23013,"Consumer Prices, Food Indices (2015 = 100)",6125,Value,7006,June,2007,2007,,48.452572,X,base year is 2015
IDN,2008-06-01,2008-06-30,101,'360,Indonesia,23013,"Consumer Prices, Food Indices (2015 = 100)",6125,Value,7006,June,2008,2008,,57.829206,X,base year is 2015
IDN,2009-06-01,2009-06-30,101,'360,Indonesia,23013,"Consumer Prices, Food Indices (2015 = 100)",6125,Value,7006,June,2009,2009,,60.729607,X,base year is 2015
IDN,2010-06-01,2010-06-30,101,'360,Indonesia,23013,"Consumer Prices, Food Indices (2015 = 100)",6125,Value,7006,June,2010,2010,,66.967454,X,base year is 2015
IDN,2011-06-01,2011-06-30,101,'360,Indonesia,23013,"Consumer Prices, Food Indices (2015 = 100)",6125,Value,7006,June,2011,2011,,72.430532,X,base year is 2015
IDN,2012-06-01,2012-06-30,101,'360,Indonesia,23013,"Consumer Prices, Food Indices (2015 = 100)",6125,Value,7006,June,2012,2012,,77.635362,X,base year is 2015
IDN,2013-06-01,2013-06-30,101,'360,Indonesia,23013,"Consumer Prices, Food Indices (2015 = 100)",6125,Value,7006,June,2013,2013,,85.819740,X,base year is 2015
IDN,2014-06-01,2014-06-30,101,'360,Indonesia,23013,"Consumer Prices, Food Indices (2015 = 100)",6125,Value,7006,June,2014,2014,,91.734301,X,base year is 2015
IDN,2015-06-01,2015-06-30,101,'360,Indonesia,23013,"Consumer Prices, Food Indices (2015 = 100)",6125,Value,7006,June,2015,2015,,99.617779,X,base year is 2015
IDN,2016-06-01,2016-06-30,101,'360,Indonesia,23013,"Consumer Prices, Food Indices (2015 = 100)",6125,Value,7006,June,2016,2016,,107.352806,X,base year is 2015
IDN,2017-06-01,2017-06-30,101,'360,Indonesia,23013,"Consumer Prices, Food Indices (2015 = 100)",6125,Value,7006,June,2017,2017,,109.931149,X,base year is 2015
IDN,2018-06-01,2018-06-30,101,'360,Indonesia,23013,"Consumer Prices, Food Indices (2015 = 100)",6125,Value,7006,June,2018,2018,,115.087834,X,base year is 2015
IDN,2019-06-01,2019-06-30,101,'360,Indonesia,23013,"Consumer Prices, Food Indices (2015 = 100)",6125,Value,7006,June,2019,2019,,115.087834,X,base year is 2015
IDN,2020-06-01,2020-06-30,101,'360,Indonesia,23013,"Consumer Prices, Food Indices (2015 = 100)",6125,Value,7006,June,2020,2020,,122.063755,X,base year is 2015
IDN,2021-06-01,2021-06-30,101,'360,Indonesia,23013,"Consumer Prices, Food Indices (2015 = 100)",6125,Value,7006,June,2021,2021,,124.338941,X,base year is 2015
IDN,2022-06-01,2022-06-30,101,'360,Indonesia,23013,"Consumer Prices, Food Indices (2015 = 100)",6125,Value,7006,June,2022,2022,,134.577280,X,base year is 2015
IDN,2023-06-01,2023-06-30,101,'360,Indonesia,23013,"Consumer Prices, Food Indices (2015 = 100)",6125,Value,7006,June,2023,2023,,138.331338,X,base year is 2015
IDN,2000-07-01,2000-07-31,101,'360,Indonesia,23013,"Consumer Prices, Food Indices (2015 = 100)",6125,Value,7007,July,2000,2000,,27.732589,X,base year is 2015
IDN,2001-07-01,2001-07-31,101,'360,Indonesia,23013,"Consumer Prices, Food Indices (2015 = 100)",6125,Value,7007,July,2001,2001,,30.320105,X,base year is 2015
IDN,2002-07-01,2002-07-31,101,'360,Indonesia,23013,"Consumer Prices, Food Indices (2015 = 100)",6125,Value,7007,July,2002,2002,,32.430845,X,base year is 2015
IDN,2003-07-01,2003-07-31,101,'360,Indonesia,23013,"Consumer Prices, Food Indices (2015 = 100)",6125,Value,7007,July,2003,2003,,32.629495,X,base year is 2015
IDN,2004-07-01,2004-07-31,101,'360,Indonesia,23013,"Consumer Prices, Food Indices (2015 = 100)",6125,Value,7007,July,2004,2004,,35.907349,X,base year is 2015
IDN,2005-07-01,2005-07-31,101,'360,Indonesia,23013,"Consumer Prices, Food Indices (2015 = 100)",6125,Value,7007,July,2005,2005,,38.415397,X,base year is 2015
IDN,2006-07-01,2006-07-31,101,'360,Indonesia,23013,"Consumer Prices, Food Indices (2015 = 100)",6125,Value,7007,July,2006,2006,,46.798745,X,base year is 2015
IDN,2007-07-01,2007-07-31,101,'360,Indonesia,23013,"Consumer Prices, Food Indices (2015 = 100)",6125,Value,7007,July,2007,2007,,49.108143,X,base year is 2015
